Car-Name,Engine,Image,MPG,Seating,Transmission,Power,Drivetrain,Features
2019 MINI Countryman,1.5LI-3,https://s.aolcdn.com/dims-global/dims3/GLOB/legacy_thumbnail/788x525/quality/85/https://s.aolcdn.com/commerce/autodata/images/USC70MNS031A021001.jpg,24 City / 33 Hwy,5 Passengers,6-spd man w/OD,134 @ 4400 rpm,front-wheel,"['1.5L I-3 Engine', '6-spd man w/OD Transmission', '134 @ 4,400 rpm Horsepower', '162 @ 1,250 rpm Torque', 'front-wheel Drive type', 'ABS and driveline Traction control', '1st row exterior power sliding and tilting glass Sunroof', '17"" silver aluminum Wheels', 'front air conditioning, manual', 'AM/FM/HD/Satellite-prep, seek-scan Radio', '1st row LCD monitor', 'keyfob (all doors) Remote keyless entry', 'front Fog/driving lights', 'Heated mirrors', 'Windshield wipers - rain sensing', 'Sensatec leatherette Seat trim', 'Rear Park Distance Control Parking assist']"
2019 MINI Hardtop,1.5LI-3,https://s.aolcdn.com/dims-global/dims3/GLOB/legacy_thumbnail/788x525/quality/85/https://s.aolcdn.com/commerce/autodata/images/USC90MNC091B021001.jpg,28 City / 38 Hwy,4 Passengers,6-spd man w/OD,134 @ 4400 rpm,front-wheel,"['1.5L I-3 Engine', '6-spd man w/OD Transmission', '134 @ 4,400 rpm Horsepower', '162 @ 1,250 rpm Torque', 'front-wheel Drive type', 'ABS and driveline Traction control', '15"" silver aluminum Wheels', 'front air conditioning, manual', 'AM/FM/HD/Satellite-prep, seek-scan Radio', '1st row LCD monitor', 'keyfob (all doors) Remote keyless entry', 'Heated mirrors', 'Windshield wipers - rain sensing', 'Sensatec leatherette Seat trim', 'Rear Park Distance Control Parking assist']"
2019 MINI Convertible,1.5LI-3,https://s.aolcdn.com/dims-global/dims3/GLOB/legacy_thumbnail/788x525/quality/85/https://s.aolcdn.com/commerce/autodata/images/USC90MNC101B021001.jpg,28 City / 37 Hwy,4 Passengers,6-spd man w/OD,134 @ 4400 rpm,front-wheel,"['1.5L I-3 Engine', '6-spd man w/OD Transmission', '134 @ 4,400 rpm Horsepower', '162 @ 1,250 rpm Torque', 'front-wheel Drive type', 'ABS and driveline Traction control', '15"" silver aluminum Wheels', 'front air conditioning, manual', 'AM/FM/Satellite-prep, seek-scan Radio', '1st row LCD monitor', 'keyfob (all doors) Remote keyless entry', 'Heated mirrors', 'power Convertible top', 'Windshield wipers - rain sensing', 'Sensatec leatherette Seat trim', 'Rear Park Distance Control Parking assist']"
2019 MINI Clubman,1.5LI-3,https://s.aolcdn.com/dims-global/dims3/GLOB/legacy_thumbnail/788x525/quality/85/https://s.aolcdn.com/commerce/autodata/images/USC90MNC131B021001.jpg,24 City / 33 Hwy,5 Passengers,6-spd man w/OD,134 @ 4400 rpm,front-wheel,"['1.5L I-3 Engine', '6-spd man w/OD Transmission', '134 @ 4,400 rpm Horsepower', '162 @ 1,250 rpm Torque', 'front-wheel Drive type', 'ABS and driveline Traction control', '16"" silver aluminum Wheels', 'front air conditioning, manual', 'AM/FM/Satellite-prep, seek-scan Radio', '1st row LCD monitor', 'keyfob (all doors) Remote keyless entry', 'front Fog/driving lights', 'Heated mirrors', 'Windshield wipers - rain sensing', 'Sensatec leatherette Seat trim', 'Rear Park Distance Control Parking assist']"
2019 Mitsubishi Mirage,1.2LI-3,https://s.aolcdn.com/dims-global/dims3/GLOB/legacy_thumbnail/788x525/quality/85/https://s.aolcdn.com/commerce/autodata/images/CAC70MIC071A021001.jpg,33 City / 41 Hwy,5 Passengers,5-spd man w/OD,78 @ 6000 rpm,front-wheel,"['1.2L I-3 Engine', '5-spd man w/OD Transmission', '78 @ 6,000 rpm Horsepower', '74 @ 4,000 rpm Torque', 'front-wheel Drive type', 'ABS and driveline Traction control', '14"" steel Wheels', 'front air conditioning, manual', 'AM/FM/HD, seek-scan Radio', '1st row LCD monitor', 'keyfob (all doors) Remote keyless entry', 'cloth Seat trim']"
2019 Mitsubishi Eclipse Cross,1.5LI-4,https://s.aolcdn.com/dims-global/dims3/GLOB/legacy_thumbnail/788x525/quality/85/https://s.aolcdn.com/commerce/autodata/images/USC80MIS081A021001.jpg,26 City / 29 Hwy,5 Passengers,8-spd CVT w/OD,152 @ 5500 rpm,front-wheel,"['1.5L I-4 Engine', '8-spd CVT w/OD Transmission', '152 @ 5,500 rpm Horsepower', '184 @ 3,500 rpm Torque', 'front-wheel Drive type', 'ABS and driveline Traction control', '16"" silver aluminum Wheels', 'front air conditioning, automatic', 'AM/FM/HD, seek-scan Radio', '1st row LCD monitor', 'keyfob (all doors) Remote keyless entry', 'front Fog/driving lights', 'Heated mirrors', 'cloth Seat trim']"
2019 Mitsubishi Outlander Sport,2.0LI-4,https://s.aolcdn.com/dims-global/dims3/GLOB/legacy_thumbnail/788x525/quality/85/https://s.aolcdn.com/commerce/autodata/images/USC80MIS051A021001.jpg,23 City / 29 Hwy,5 Passengers,5-spd man w/OD,148 @ 6000 rpm,front-wheel,"['2.0L I-4 Engine', '5-spd man w/OD Transmission', '148 @ 6,000 rpm Horsepower', '145 @ 4,200 rpm Torque', 'front-wheel Drive type', 'ABS and driveline Traction control', '18"" polished w/painted accents aluminum Wheels', 'front air conditioning, automatic', 'AM/FM/HD, seek-scan Radio', '1st row LCD monitor', 'keyfob (all doors) Remote keyless entry', 'Heated mirrors', 'cloth Seat trim']"
2019 Mitsubishi Outlander,2.4LI-4,https://s.aolcdn.com/dims-global/dims3/GLOB/legacy_thumbnail/788x525/quality/85/https://s.aolcdn.com/commerce/autodata/images/CAC90MIS031B021001.jpg,25 City / 30 Hwy,7 Passengers,2-spd CVT w/OD,166 @ 6000 rpm,front-wheel,"['2.4L I-4 Engine', '2-spd CVT w/OD Transmission', '166 @ 6,000 rpm Horsepower', '162 @ 4,200 rpm Torque', 'front-wheel Drive type', 'ABS and driveline Traction control', '18"" machined w/painted accents aluminum Wheels', 'front air conditioning, dual zone automatic', 'driver and front passenger heated-cushion, heated-seatback Heated front seats', 'AM/FM/HD, seek-scan Radio', '1st row LCD monitor', 'keyfob (all doors) Remote keyless entry', 'Heated mirrors', 'cloth Seat trim', '50-50 split-bench Third row seats']"
2009 Morgan Aero8,4.8LV-8,https://s.aolcdn.com/os/ab/img/icons/image_unavailable_376x212.png, City /  Hwy,2 Passengers,6-spd auto w/OD,376 @ 6300 rpm,rear-wheel,"['4.8L V-8 Engine', '6-spd auto w/OD Transmission', '376 @ 6,300 rpm Horsepower', '360 @ 3,400 rpm Torque', 'rear-wheel Drive type', '18"" painted forged aluminum Wheels', 'front air conditioning, manual', 'AM/FM stereo, seek-scan Radio', 'keyfob (all doors) Remote keyless entry', 'manual Convertible top', 'leather Seat trim']"
2008 Morgan Aero8,4.8LV-8,https://s.aolcdn.com/dims-global/dims3/GLOB/legacy_thumbnail/788x525/quality/85/https://s.aolcdn.com/commerce/autodata/images/USB80MOC021A0101.jpg, City /  Hwy,2 Passengers,6-spd auto w/OD,376 @ 6300 rpm,rear-wheel,"['4.8L V-8 Engine', '6-spd auto w/OD Transmission', '376 @ 6,300 rpm Horsepower', '360 @ 3,400 rpm Torque', 'rear-wheel Drive type', '18"" painted forged aluminum Wheels', 'front air conditioning, manual', 'AM/FM stereo, seek-scan Radio', 'keyfob (all doors) Remote keyless entry', 'manual Convertible top', 'leather Seat trim']"
