Car-Name,Engine,Image,MPG,Seating,Transmission,Power,Drivetrain,Features
2019 Genesis G70,2.0LI-4,https://s.aolcdn.com/dims-global/dims3/GLOB/legacy_thumbnail/788x525/quality/85/https://s.aolcdn.com/commerce/autodata/images/CAC90GSC032E021001.jpg,22 City / 30 Hwy,5 Passengers,8-spd auto w/OD,252 @ 6200 rpm,rear-wheel,"['2.0L I-4 Engine', '8-spd auto w/OD Transmission', '252 @ 6,200 rpm Horsepower', '260 @ 1,400 rpm Torque', 'rear-wheel Drive type', 'ABS and driveline Traction control', '18"" painted aluminum Wheels', 'front air conditioning, dual zone automatic', 'SiriusXM AM/FM/HD/Satellite, seek-scan Radio', '2 - 1st row LCD monitor', 'keyfob (all doors) Remote keyless entry', 'Heated mirrors', 'leatherette Seat trim', 'driver Lumbar support']"
2019 Genesis G90,3.3LV-6,https://s.aolcdn.com/dims-global/dims3/GLOB/legacy_thumbnail/788x525/quality/85/https://s.aolcdn.com/commerce/autodata/images/USC70GSC022A021001.jpg,17 City / 24 Hwy,5 Passengers,8-spd w/OD,365 @ 6000 rpm,rear-wheel,"['3.3L V-6 Engine', '8-spd w/OD Transmission', '365 @ 6,000 rpm Horsepower', '376 @ 1,300 rpm Torque', 'rear-wheel Drive type', 'ABS and driveline Traction control', '1st row regular express open/close sliding and tilting glass Sunroof', '19"" chrome aluminum Wheels', 'front air conditioning, dual zone automatic', 'rear air conditioning, with separate controls', 'driver and front passenger heated-cushion, heated-seatback Heated front seats', 'SiriusXM AM/FM/HD/Satellite, seek-scan Radio', '2 - 1st row LCD monitor', 'keyfob (all doors) Remote keyless entry', 'Heated mirrors', 'Windshield wipers - rain sensing', 'Nappa leather Seat trim', 'driver and passenger Lumbar support', 'Navigation system', 'Parking assist']"
2018 Genesis G90,3.3LV-6,https://s.aolcdn.com/dims-global/dims3/GLOB/legacy_thumbnail/788x525/quality/85/https://s.aolcdn.com/commerce/autodata/images/USC70GSC022A021001.jpg,17 City / 24 Hwy,5 Passengers,8-spd w/OD,365 @ 6000 rpm,rear-wheel,"['3.3L V-6 Engine', '8-spd w/OD Transmission', '365 @ 6,000 rpm Horsepower', '376 @ 1,300 rpm Torque', 'rear-wheel Drive type', 'ABS and driveline Traction control', '1st row regular express open/close sliding and tilting glass Sunroof', '19"" chrome aluminum Wheels', 'front air conditioning, dual zone automatic', 'rear air conditioning, with separate controls', 'driver and front passenger heated-cushion, heated-seatback Heated front seats', 'SiriusXM AM/FM/HD/Satellite, seek-scan Radio', '2 - 1st row LCD monitor', 'keyfob (all doors) Remote keyless entry', 'front Fog/driving lights', 'Heated mirrors', 'Windshield wipers - rain sensing', 'Nappa leather Seat trim', 'driver and passenger Lumbar support', 'Navigation system', 'Parking assist']"
2019 GMC Yukon,5.3LV-8,https://s.aolcdn.com/dims-global/dims3/GLOB/legacy_thumbnail/788x525/quality/85/https://s.aolcdn.com/commerce/autodata/images/USC80GMS031B021001.jpg,15 City / 22 Hwy,8 Passengers,6-spd w/OD,355 @ 5600 rpm,rear-wheel,"['5.3L V-8 Engine', '6-spd w/OD Transmission', '355 @ 5,600 rpm Horsepower', '383 @ 4,100 rpm Torque', 'rear-wheel Drive type', 'ABS and driveline Traction control', '18"" machined aluminum Wheels', 'front air conditioning, dual zone automatic', 'rear air conditioning, with separate controls', 'SiriusXM AM/FM/HD/Satellite, seek-scan Radio', '2 - 1st row LCD monitor', 'keyfob (all doors) Remote keyless entry', 'front Fog/driving lights', 'Heated mirrors', 'Windshield wipers - rain sensing', 'premium cloth Seat trim', 'driver and passenger Lumbar support', '60-40 split-bench Third row seats', 'Front and Rear Park Assist Parking assist']"
2019 GMC Savana 3500,4.3LV-6,https://s.aolcdn.com/dims-global/dims3/GLOB/legacy_thumbnail/788x525/quality/85/https://s.aolcdn.com/commerce/autodata/images/CAC60GMV141C021001.jpg, City /  Hwy,12 Passengers,8-spd auto w/OD,276 @ 5200 rpm,rear-wheel,"['4.3L V-6 Engine', '8-spd auto w/OD Transmission', '276 @ 5,200 rpm Horsepower', '298 @ 3,900 rpm Torque', 'rear-wheel Drive type', 'ABS and driveline Traction control', '16"" gray steel Wheels', 'front air conditioning, manual', 'AM/FM stereo, seek-scan Radio', '1st row LCD monitor', 'vinyl Seat trim']"
2019 GMC Canyon,2.5LI-4,https://s.aolcdn.com/dims-global/dims3/GLOB/legacy_thumbnail/788x525/quality/85/https://s.aolcdn.com/commerce/autodata/images/USC90GMT221B021001.jpg,20 City / 26 Hwy,2 Passengers,6-spd auto w/OD,200 @ 6300 rpm,rear-wheel,"['2.5L I-4 Engine', '6-spd auto w/OD Transmission', '200 @ 6,300 rpm Horsepower', '191 @ 4,400 rpm Torque', 'rear-wheel Drive type', 'ABS and driveline Traction control', '16"" silver aluminum Wheels', 'front air conditioning, manual', 'AM/FM stereo, seek-scan Radio', '1st row LCD monitor', 'vinyl Seat trim']"
2019 GMC Yukon XL,5.3LV-8,https://s.aolcdn.com/dims-global/dims3/GLOB/legacy_thumbnail/788x525/quality/85/https://s.aolcdn.com/commerce/autodata/images/USC80GMS291A021001.jpg,15 City / 22 Hwy,8 Passengers,6-spd w/OD,355 @ 5600 rpm,rear-wheel,"['5.3L V-8 Engine', '6-spd w/OD Transmission', '355 @ 5,600 rpm Horsepower', '383 @ 4,100 rpm Torque', 'rear-wheel Drive type', 'ABS and driveline Traction control', '18"" machined aluminum Wheels', 'front air conditioning, dual zone automatic', 'rear air conditioning, with separate controls', 'SiriusXM AM/FM/HD/Satellite, seek-scan Radio', '2 - 1st row LCD monitor', 'keyfob (all doors) Remote keyless entry', 'front Fog/driving lights', 'Heated mirrors', 'Windshield wipers - rain sensing', 'premium cloth Seat trim', 'driver and passenger Lumbar support', '60-40 split-bench Third row seats', 'Front and Rear Park Assist Parking assist']"
2019 Honda Accord,1.5LI-4,https://s.aolcdn.com/dims-global/dims3/GLOB/legacy_thumbnail/788x525/quality/85/https://s.aolcdn.com/commerce/autodata/images/USC90HOC011A021001.jpg,30 City / 38 Hwy,5 Passengers,2-spd CVT w/OD,192 @ 5500 rpm,front-wheel,"['1.5L I-4 Engine', '2-spd CVT w/OD Transmission', '192 @ 5,500 rpm Horsepower', '192 @ 1,600 rpm Torque', 'front-wheel Drive type', 'ABS and driveline Traction control', '17"" silver aluminum Wheels', 'front air conditioning, dual zone automatic', 'AM/FM stereo, seek-scan Radio', '1st row LCD monitor', 'keyfob (all doors) Remote keyless entry', 'cloth Seat trim']"
2019 Honda Accord Hybrid,I-4,https://s.aolcdn.com/dims-global/dims3/GLOB/legacy_thumbnail/788x525/quality/85/https://s.aolcdn.com/commerce/autodata/images/USC90HOC091A021001.jpg,48 City / 48 Hwy,5 Passengers,1-spd CVT w/OD,143 @ 6200 rpm,front-wheel,"['2.0L I-4 Engine', '1-spd CVT w/OD Transmission', '143 @ 6,200 rpm Horsepower', '129 @ 3,500 rpm Torque', 'front-wheel Drive type', 'ABS and driveline Traction control', '17"" machined w/painted accents aluminum Wheels', 'front air conditioning, dual zone automatic', 'AM/FM stereo, seek-scan Radio', '1st row LCD monitor', 'keyfob (all doors) Remote keyless entry', 'cloth Seat trim']"
2019 Honda Civic Type R,2.0LI-4,https://s.aolcdn.com/dims-global/dims3/GLOB/legacy_thumbnail/788x525/quality/85/https://s.aolcdn.com/commerce/autodata/images/USC90HOC174A021001.jpg,22 City / 28 Hwy,4 Passengers,6-spd man w/OD,306 @ 6500 rpm,front-wheel,"['2.0L I-4 Engine', '6-spd man w/OD Transmission', '306 @ 6,500 rpm Horsepower', '295 @ 2,500 rpm Torque', 'front-wheel Drive type', 'ABS and driveline Traction control', '20"" black aluminum Wheels', 'front air conditioning, dual zone automatic', 'SiriusXM AM/FM/HD/Satellite, seek-scan Radio', '1st row LCD monitor', 'keyfob (all doors) Remote keyless entry', 'front Fog/driving lights', 'Heated mirrors', 'simulated suede Seat trim', 'Navigation system']"
