Car-Name,Engine,Image,MPG,Seating,Transmission,Power,Drivetrain,Features
2019 Buick Encore,1.4LI-4,https://s.aolcdn.com/dims-global/dims3/GLOB/legacy_thumbnail/788x525/quality/85/https://s.aolcdn.com/commerce/autodata/images/USC70BUS041A021001.jpg,25 City / 30 Hwy,5 Passengers,6-spd auto w/OD,138 @ 4900 rpm,front-wheel,"['1.4L I-4 Engine', '6-spd auto w/OD Transmission', '138 @ 4,900 rpm Horsepower', '148 @ 1,850 rpm Torque', 'front-wheel Drive type', 'ABS and driveline Traction control', '18"" machined w/painted accents aluminum Wheels', 'front air conditioning, manual', 'SiriusXM AM/FM/Satellite, seek-scan Radio', '2 - 1st row LCD monitor', 'keyfob (all doors) Remote keyless entry', 'Heated mirrors', 'cloth/leatherette Seat trim', 'driver Lumbar support']"
2019 Buick Regal TourX,2.0LI-4,https://s.aolcdn.com/dims-global/dims3/GLOB/legacy_thumbnail/788x525/quality/85/https://s.aolcdn.com/commerce/autodata/images/USC80BUC201B021001.jpg,21 City / 29 Hwy,5 Passengers,8-spd auto w/OD,250 @ 5400 rpm,all wheel,"['2.0L I-4 Engine', '8-spd auto w/OD Transmission', '250 @ 5,400 rpm Horsepower', '295 @ 3,000 rpm Torque', 'all wheel Drive type', 'ABS and driveline Traction control', '18"" machined w/painted accents aluminum Wheels', 'front air conditioning, manual', 'AM/FM stereo, seek-scan Radio', '1st row LCD monitor', 'keyfob (all doors) Remote keyless entry', 'front Fog/driving lights', 'Heated mirrors', 'cloth Seat trim']"
2019 Buick LaCrosse,I-4,https://s.aolcdn.com/dims-global/dims3/GLOB/legacy_thumbnail/788x525/quality/85/https://s.aolcdn.com/commerce/autodata/images/CAC70BUC081C021001.jpg,25 City / 35 Hwy,5 Passengers,6-spd auto w/OD,194 @ 6300 rpm,front-wheel,"['2.5L I-4 Engine', '6-spd auto w/OD Transmission', '194 @ 6,300 rpm Horsepower', '187 @ 4,400 rpm Torque', 'front-wheel Drive type', 'ABS and driveline Traction control', '18"" silver aluminum Wheels', 'front air conditioning, dual zone automatic', 'AM/FM stereo, seek-scan Radio', '2 - 1st row LCD monitor', 'keyfob (all doors) Remote keyless entry', 'front Fog/driving lights', 'Heated mirrors', 'leatherette Seat trim', 'driver and passenger Lumbar support', 'Rear Park Assist Parking assist']"
2019 Buick Enclave,3.6LV-6,https://s.aolcdn.com/dims-global/dims3/GLOB/legacy_thumbnail/788x525/quality/85/https://s.aolcdn.com/commerce/autodata/images/USC80BUS031B021001.jpg,18 City / 26 Hwy,7 Passengers,9-spd auto w/OD,310 @ 6800 rpm,front-wheel,"['3.6L V-6 Engine', '9-spd auto w/OD Transmission', '310 @ 6,800 rpm Horsepower', '266 @ 2,800 rpm Torque', 'front-wheel Drive type', 'ABS and driveline Traction control', '18"" painted aluminum Wheels', 'front air conditioning, dual zone automatic', 'rear air conditioning, with separate controls', 'driver and front passenger heated-cushion, heated-seatback Heated front seats', 'AM/FM stereo, seek-scan Radio', '2 - 1st row LCD monitor', 'keyfob (all doors) Remote keyless entry', 'Heated mirrors', 'cloth Seat trim', 'driver and passenger Lumbar support', '60-40 split-bench Third row seats', 'Parking assist']"
2019 Cadillac XTS,3.6LV-6,https://s.aolcdn.com/dims-global/dims3/GLOB/legacy_thumbnail/788x525/quality/85/https://s.aolcdn.com/commerce/autodata/images/USC80CAC192A021001.jpg,19 City / 28 Hwy,5 Passengers,6-spd auto w/OD,304 @ 6800 rpm,front-wheel,"['3.6L V-6 Engine', '6-spd auto w/OD Transmission', '304 @ 6,800 rpm Horsepower', '264 @ 5,300 rpm Torque', 'front-wheel Drive type', 'ABS and driveline Traction control', '19"" silver w/chrome accents aluminum Wheels', 'front air conditioning, dual zone automatic', 'SiriusXM AM/FM/Satellite, seek-scan Radio', '2 - 1st row LCD monitor', 'keyfob (all doors) Remote keyless entry', 'Heated mirrors', 'leather Seat trim', 'driver and passenger Lumbar support', 'Parking assist']"
2019 Cadillac CT6-V,4.2LV-8,https://s.aolcdn.com/dims-global/dims3/GLOB/legacy_thumbnail/788x525/quality/85/https://s.aolcdn.com/commerce/autodata/images/USC90CAC251A021001.jpg, City /  Hwy,5 Passengers,10-spd auto w/OD,550 @ 5000 rpm,all wheel,"['4.2L V-8 Engine', '10-spd auto w/OD Transmission', '550 @ 5,000 rpm Horsepower', '640 @ 3,400 rpm Torque', 'all wheel Drive type', 'ABS and driveline Traction control', '1st and 2nd row exterior express open/close sliding and tilting glass Sunroof', '20"" polished aluminum Wheels', 'front air conditioning, dual zone automatic', 'driver and front passenger heated-cushion, heated-seatback Heated front seats', 'SiriusXM AM/FM/HD/Satellite, seek-scan Radio', '2 - 1st row LCD monitor', 'keyfob (all doors) Remote keyless entry', 'Heated mirrors', 'Rainsense Windshield wipers - rain sensing', 'leather Seat trim', 'driver and passenger Lumbar support', 'Navigation system', 'Automatic Parking Assist Parking assist']"
2019 Cadillac Escalade ESV,6.2LV-8,https://s.aolcdn.com/dims-global/dims3/GLOB/legacy_thumbnail/788x525/quality/85/https://s.aolcdn.com/commerce/autodata/images/USC60CAS031B021001.jpg,14 City / 23 Hwy,7 Passengers,10-spd w/OD,420 @ 5600 rpm,rear-wheel,"['6.2L V-8 Engine', '10-spd w/OD Transmission', '420 @ 5,600 rpm Horsepower', '460 @ 4,100 rpm Torque', 'rear-wheel Drive type', 'ABS and driveline Traction control', '20"" chrome aluminum Wheels', 'front air conditioning, dual zone automatic', 'rear air conditioning, with separate controls', 'driver and front passenger heated-cushion, heated-seatback Heated front seats', 'SiriusXM AM/FM/HD/Satellite, seek-scan Radio', '2 - 1st row LCD monitor', 'keyfob (all doors) Remote keyless entry', 'front Fog/driving lights', 'Heated mirrors', 'Rainsense Windshield wipers - rain sensing', 'leather Seat trim', 'driver and passenger Lumbar support', '60-40 split-bench Third row seats', 'Navigation system', 'Parking assist']"
2019 Cadillac CTS,2.0LI-4,https://s.aolcdn.com/dims-global/dims3/GLOB/legacy_thumbnail/788x525/quality/85/https://s.aolcdn.com/commerce/autodata/images/CAC70CAC111A021001.jpg,22 City / 30 Hwy,5 Passengers,8-spd auto w/OD,268 @ 5600 rpm,rear-wheel,"['2.0L I-4 Engine', '8-spd auto w/OD Transmission', '268 @ 5,600 rpm Horsepower', '295 @ 3,000 rpm Torque', 'rear-wheel Drive type', 'ABS and driveline Traction control', '17"" painted aluminum Wheels', 'front air conditioning, dual zone automatic', 'SiriusXM AM/FM/HD/Satellite, seek-scan Radio', '2 - 1st row LCD monitor', 'keyfob (all doors) Remote keyless entry', 'Heated mirrors', 'leatherette Seat trim', 'driver and passenger Lumbar support', 'Ultrasonic Parking assist']"
2019 Chevrolet Camaro,2.0LI-4,https://s.aolcdn.com/dims-global/dims3/GLOB/legacy_thumbnail/788x525/quality/85/https://s.aolcdn.com/commerce/autodata/images/USC90CHC021C021001.jpg,20 City / 30 Hwy,4 Passengers,6-spd man w/OD,275 @ 5600 rpm,rear-wheel,"['2.0L I-4 Engine', '6-spd man w/OD Transmission', '275 @ 5,600 rpm Horsepower', '295 @ 3,000 rpm Torque', 'rear-wheel Drive type', 'ABS and driveline Traction control', '18"" silver aluminum Wheels', 'front air conditioning, automatic', 'AM/FM/HD/Satellite-prep, seek-scan Radio', '2 - 1st row LCD monitor', 'keyfob (all doors) Remote keyless entry', 'cloth Seat trim']"
2019 Chevrolet Impala,2.5LI-4,https://s.aolcdn.com/dims-global/dims3/GLOB/legacy_thumbnail/788x525/quality/85/https://s.aolcdn.com/commerce/autodata/images/USC90CHC131A021001.jpg,22 City / 29 Hwy,5 Passengers,6-spd auto w/OD,197 @ 6300 rpm,front-wheel,"['2.5L I-4 Engine', '6-spd auto w/OD Transmission', '197 @ 6,300 rpm Horsepower', '191 @ 4,400 rpm Torque', 'front-wheel Drive type', 'ABS and driveline Traction control', '18"" steel Wheels', 'front air conditioning, automatic', 'SiriusXM AM/FM/Satellite, seek-scan Radio', '2 - 1st row LCD monitor', 'keyfob (all doors) Remote keyless entry', 'cloth/leatherette Seat trim', 'driver Lumbar support']"
