Car-Name,Engine,Image,MPG,Seating,Transmission,Power,Drivetrain,Features
2018 Lotus Evora 400,3.5LV-6,https://s.aolcdn.com/dims-global/dims3/GLOB/legacy_thumbnail/788x525/quality/85/https://s.aolcdn.com/commerce/autodata/images/USC70LOC051A01300.jpg,21 City / 39 Hwy,4 Passengers,6-spd man w/OD,400 @ 7000 rpm,rear-wheel,"['3.5L V-6 Engine', '6-spd man w/OD Transmission', '400 @ 7,000 rpm Horsepower', '302 @ 3,500 rpm Torque', 'rear-wheel Drive type', 'ABS and driveline Traction control', '19"" silver aluminum Wheels', 'front air conditioning, manual', 'driver and front passenger heated-cushion, heated-seatback Heated front seats', 'AM/FM stereo, seek-scan Radio', '1st row LCD monitor', 'keyfob (all doors) Remote keyless entry', 'Heated mirrors', 'cloth/leather Seat trim', 'Navigation system', 'Parking assist']"
2019 Maserati GranTurismo,4.7LV-8,https://s.aolcdn.com/dims-global/dims3/GLOB/legacy_thumbnail/788x525/quality/85/https://s.aolcdn.com/commerce/autodata/images/USC80MSC052B021001.jpg,13 City / 20 Hwy,4 Passengers,6-spd auto w/OD,454 @ 7000 rpm,rear-wheel,"['4.7L V-8 Engine', '6-spd auto w/OD Transmission', '454 @ 7,000 rpm Horsepower', '384 @ 4,750 rpm Torque', 'rear-wheel Drive type', 'ABS and driveline Traction control', '20"" silver aluminum Wheels', 'front air conditioning, dual zone automatic', 'driver and front passenger heated-cushion, heated-seatback Heated front seats', 'SiriusXM AM/FM/Satellite, seek-scan Radio', '2 - 1st row LCD monitor', 'keyfob (all doors) Remote keyless entry', 'Heated mirrors', 'power Convertible top', 'Windshield wipers - rain sensing', 'leather Seat trim', 'driver and passenger Lumbar support', 'Navigation system', 'Parking assist']"
2019 Maserati Quattroporte,3.0LV-6,https://s.aolcdn.com/dims-global/dims3/GLOB/legacy_thumbnail/788x525/quality/85/https://s.aolcdn.com/commerce/autodata/images/USC70MSC031A021001_2.jpg,16 City / 23 Hwy,5 Passengers,8-spd auto w/OD,424 @ 5750 rpm,rear-wheel,"['3.0L V-6 Engine', '8-spd auto w/OD Transmission', '424 @ 5,750 rpm Horsepower', '428 @ 1,750 rpm Torque', 'rear-wheel Drive type', 'ABS and driveline Traction control', '1st row regular express open/close sliding and tilting glass Sunroof', '19"" silver aluminum Wheels', 'front air conditioning, dual zone automatic', 'driver and front passenger heated-cushion, heated-seatback Heated front seats', 'SiriusXM AM/FM/HD/Satellite, seek-scan Radio', '2 - 1st row LCD monitor', 'keyfob (all doors) Remote keyless entry', 'rear Fog/driving lights', 'Heated mirrors', 'Windshield wipers - rain sensing', 'leather Seat trim', 'driver and passenger Lumbar support', 'Navigation system', 'Parking assist']"
2019 Maserati Ghibli,3.0LV-6,https://s.aolcdn.com/dims-global/dims3/GLOB/legacy_thumbnail/788x525/quality/85/https://s.aolcdn.com/commerce/autodata/images/USC40MSC062A021001_2.jpg,17 City / 24 Hwy,5 Passengers,8-spd auto w/OD,345 @ 5750 rpm,rear-wheel,"['3.0L V-6 Engine', '8-spd auto w/OD Transmission', '345 @ 5,750 rpm Horsepower', '369 @ 4,500 rpm Torque', 'rear-wheel Drive type', 'ABS and driveline Traction control', '1st row regular express open/close sliding and tilting glass Sunroof', '19"" silver aluminum Wheels', 'front air conditioning, dual zone automatic', 'driver and front passenger heated-cushion, heated-seatback Heated front seats', 'SiriusXM AM/FM/HD/Satellite, seek-scan Radio', '2 - 1st row LCD monitor', 'keyfob (all doors) Remote keyless entry', 'rear Fog/driving lights', 'Heated mirrors', 'Windshield wipers - rain sensing', 'leather Seat trim', 'driver and passenger Lumbar support', 'Navigation system', 'Parking assist']"
2019 Maserati Levante,3.0LV-6,https://s.aolcdn.com/dims-global/dims3/GLOB/legacy_thumbnail/788x525/quality/85/https://s.aolcdn.com/commerce/autodata/images/USC70MSS011A021001_2.jpg,15 City / 21 Hwy,5 Passengers,8-spd auto w/OD,345 @ 5750 rpm,Q4 all wheel,"['3.0L V-6 Engine', '8-spd auto w/OD Transmission', '345 @ 5,750 rpm Horsepower', '369 @ 4,500 rpm Torque', 'Q4 all wheel Drive type', 'ABS and driveline Traction control', '19"" polished w/painted accents aluminum Wheels', 'front air conditioning, dual zone automatic', 'driver and front passenger heated-cushion, heated-seatback Heated front seats', 'SiriusXM AM/FM/HD/Satellite, seek-scan Radio', '2 - 1st row LCD monitor', 'keyfob (all doors) Remote keyless entry', 'front Fog/driving lights', 'Heated mirrors', 'Windshield wipers - rain sensing', 'leather Seat trim', 'driver and passenger Lumbar support', 'Navigation system', 'Parking assist']"
2012 Maybach Landaulet,6.0LV-12,https://s.aolcdn.com/dims-global/dims3/GLOB/legacy_thumbnail/788x525/quality/85/https://s.aolcdn.com/commerce/autodata/images/USC20MYC031A0101.jpg,10 City / 16 Hwy,4 Passengers,5-spd w/OD,620 @ 4800 rpm,rear-wheel,"['6.0L V-12 Engine', '5-spd w/OD Transmission', '620 @ 4,800 rpm Horsepower', '738 @ 2,000 rpm Torque', 'rear-wheel Drive type', 'ABS and driveline Traction control', '20"" silver aluminum Wheels', 'front air conditioning, dual zone automatic', 'rear air conditioning, with separate controls', 'driver and front passenger heated-cushion, heated-seatback Heated front seats', 'SIRIUS AM/FM/Satellite, seek-scan Radio', '1st row LCD monitor', 'keyfob (all doors) Remote keyless entry', 'front and rear Fog/driving lights', 'Heated mirrors', 'power Convertible top', 'Windshield wipers - rain sensing', 'leather Seat trim', 'driver and passenger Lumbar support', 'Navigation system', 'ParkAssist Parking assist']"
2012 Maybach 57,5.5LV-12,https://s.aolcdn.com/dims-global/dims3/GLOB/legacy_thumbnail/788x525/quality/85/https://s.aolcdn.com/commerce/autodata/images/USC20MYC011A0101.jpg,10 City / 16 Hwy,4 Passengers,5-spd w/OD,543 @ 5250 rpm,rear-wheel,"['5.5L V-12 Engine', '5-spd w/OD Transmission', '543 @ 5,250 rpm Horsepower', '664 @ 2,300 rpm Torque', 'rear-wheel Drive type', 'ABS and driveline Traction control', '1st row regular express open/close sliding and tilting glass Sunroof', '19"" silver aluminum Wheels', 'front air conditioning, dual zone automatic', 'rear air conditioning, with separate controls', 'driver and front passenger heated-cushion, heated-seatback Heated front seats', 'SIRIUS AM/FM/Satellite, seek-scan Radio', '1st row LCD monitor', 'keyfob (all doors) Remote keyless entry', 'front and rear Fog/driving lights', 'Heated mirrors', 'Windshield wipers - rain sensing', 'leather Seat trim', 'driver and passenger Lumbar support', 'Navigation system', 'ParkAssist Parking assist']"
2012 Maybach 62,5.5LV-12,https://s.aolcdn.com/dims-global/dims3/GLOB/legacy_thumbnail/788x525/quality/85/https://s.aolcdn.com/commerce/autodata/images/USC20MYC011A0101.jpg,10 City / 16 Hwy,4 Passengers,5-spd w/OD,543 @ 5250 rpm,rear-wheel,"['5.5L V-12 Engine', '5-spd w/OD Transmission', '543 @ 5,250 rpm Horsepower', '664 @ 2,300 rpm Torque', 'rear-wheel Drive type', 'ABS and driveline Traction control', '19"" silver aluminum Wheels', 'front air conditioning, dual zone automatic', 'rear air conditioning, with separate controls', 'driver and front passenger heated-cushion, heated-seatback Heated front seats', 'SIRIUS AM/FM/Satellite, seek-scan Radio', '1st row LCD monitor', 'keyfob (all doors) Remote keyless entry', 'front and rear Fog/driving lights', 'Heated mirrors', 'Windshield wipers - rain sensing', 'leather Seat trim', 'driver and passenger Lumbar support', 'Navigation system', 'ParkAssist Parking assist']"
2019 Mazda CX-5,2.5LI-4,https://s.aolcdn.com/dims-global/dims3/GLOB/legacy_thumbnail/788x525/quality/85/https://s.aolcdn.com/commerce/autodata/images/USC90MAS061A021001.jpg,25 City / 31 Hwy,5 Passengers,6-spd auto w/OD,187 @ 6000 rpm,front-wheel,"['2.5L I-4 Engine', '6-spd auto w/OD Transmission', '187 @ 6,000 rpm Horsepower', '186 @ 4,000 rpm Torque', 'front-wheel Drive type', 'ABS and driveline Traction control', '17"" gray aluminum Wheels', 'front air conditioning, manual', 'AM/FM/HD/Satellite-prep, seek-scan Radio', '1st row LCD monitor', 'keyfob (all doors) Remote keyless entry', 'cloth Seat trim']"
2019 Mazda CX-9,2.5LI-4,https://s.aolcdn.com/dims-global/dims3/GLOB/legacy_thumbnail/788x525/quality/85/https://s.aolcdn.com/commerce/autodata/images/USC90MAS041A021001_2.jpg,22 City / 28 Hwy,7 Passengers,6-spd auto w/OD,227 @ 5000 rpm,front-wheel,"['2.5L I-4 Engine', '6-spd auto w/OD Transmission', '227 @ 5,000 rpm Horsepower', '310 @ 2,000 rpm Torque', 'front-wheel Drive type', 'ABS and driveline Traction control', '18"" silver aluminum Wheels', 'front air conditioning, dual zone automatic', 'rear air conditioning, with separate controls', 'AM/FM/HD, seek-scan Radio', '2 - 1st row LCD monitor', 'keyfob (all doors) Remote keyless entry', 'cloth Seat trim', '50-50 split-bench Third row seats']"
